term_index,job_id,batch_index,circuit_index_in_job,pauli_label_qiskit_order,pauli_label_circuit_order,coefficient_real,shots,ideal_expectation_value,measured_expectation_value,expectation_error,ideal_contribution,measured_contribution,contribution_error,abs_expectation_error,abs_contribution_error,counts_json
13,019e10f6-301b-75a0-b01e-39a6d6490cfb,1,13,IIIIIIZYXYZ,ZYXYZIIIIII,0.00048828124999999913,10,-0.9999999999999999,-1.0,-1.1102230246251565e-16,-0.0004882812499999991,-0.00048828124999999913,-5.421010862427522e-20,1.1102230246251565e-16,5.421010862427522e-20,"{""00000010011"": 1, ""00010000111"": 1, ""01111100001"": 1, ""10001000100"": 1, ""10010010011"": 1, ""10010111001"": 1, ""11100110101"": 1, ""11110001011"": 1, ""11110110000"": 1, ""11111100001"": 1}"
14,019e10f6-301b-75a0-b01e-39a6d6490cfb,1,14,IIIIIIZYYIX,XIYYZIIIIII,-0.00048828124999999913,10,0.9999999999999999,1.0,1.1102230246251565e-16,-0.0004882812499999991,-0.00048828124999999913,-5.421010862427522e-20,1.1102230246251565e-16,5.421010862427522e-20,"{""00000000000"": 1, ""00011001011"": 1, ""00101111000"": 1, ""01001101011"": 1, ""01011001011"": 1, ""01100001011"": 1, ""10001001011"": 1, ""10011001100"": 1, ""10011010100"": 1, ""11000001011"": 1}"
15,019e10f6-301b-75a0-b01e-39a6d6490cfb,1,15,IIIIIIZYYZI,IZYYZIIIIII,-0.00048828124999999913,10,0.9999999999999999,1.0,1.1102230246251565e-16,-0.0004882812499999991,-0.00048828124999999913,-5.421010862427522e-20,1.1102230246251565e-16,5.421010862427522e-20,"{""00110101011"": 1, ""10001011111"": 1, ""10010001101"": 1, ""10010011111"": 1, ""10100100000"": 1, ""10101011110"": 1, ""10110010011"": 1, ""11010010010"": 1, ""11101100001"": 1, ""11110010101"": 1}"
16,019e10f6-301b-75a0-b01e-39a6d6490cfb,1,16,IIIIIZXIXIX,XIXIXZIIIII,-0.00048828124999999913,10,0.9999999999999999,0.6,-0.3999999999999999,-0.0004882812499999991,-0.00029296874999999945,0.00019531249999999963,0.3999999999999999,0.00019531249999999963,"{""00000110000"": 1, ""00001000111"": 1, ""01101011011"": 1, ""10100000111"": 1, ""10100011111"": 1, ""10101110101"": 1, ""10101110111"": 1, ""10111101011"": 1, ""11110011111"": 1, ""11111000000"": 1}"
17,019e10f6-301b-75a0-b01e-39a6d6490cfb,1,17,IIIIIZXIXZI,IZXIXZIIIII,-0.00048828124999999913,10,0.9999999999999999,0.8,-0.19999999999999984,-0.0004882812499999991,-0.0003906249999999993,9.765624999999976e-05,0.19999999999999984,9.765624999999976e-05,"{""00000110111"": 1, ""00001011100"": 1, ""00001110111"": 1, ""00110000110"": 1, ""01100101101"": 1, ""01101110110"": 1, ""10000011011"": 1, ""10001011011"": 1, ""10110010110"": 1, ""11101000111"": 1}"
18,019e10f6-301b-75a0-b01e-39a6d6490cfb,1,18,IIIIIZXIYXY,YXYIXZIIIII,0.00048828124999999913,10,-0.9999999999999999,-0.8,0.19999999999999984,-0.0004882812499999991,-0.0003906249999999993,9.765624999999976e-05,0.19999999999999984,9.765624999999976e-05,"{""00111011011"": 1, ""01001000001"": 1, ""01001101011"": 1, ""10010011110"": 1, ""10010101000"": 1, ""10100011101"": 1, ""11001000001"": 1, ""11001000111"": 1, ""11010011000"": 1, ""11110000000"": 1}"
19,019e10f6-301b-75a0-b01e-39a6d6490cfb,1,19,IIIIIZXIYYZ,ZYYIXZIIIII,-0.00048828124999999913,10,0.9999999999999999,1.0,1.1102230246251565e-16,-0.0004882812499999991,-0.00048828124999999913,-5.421010862427522e-20,1.1102230246251565e-16,5.421010862427522e-20,"{""00000011010"": 1, ""00000101010"": 1, ""00011101001"": 1, ""00111101111"": 1, ""01100110011"": 1, ""01101101111"": 1, ""10001011100"": 1, ""10100110000"": 1, ""11000011010"": 1, ""11011011100"": 1}"
20,019e10f6-301b-75a0-b01e-39a6d6490cfb,1,20,IIIIIZXZIII,IIIZXZIIIII,-0.00048828124999999913,10,0.9999999999999999,0.8,-0.19999999999999984,-0.0004882812499999991,-0.0003906249999999993,9.765624999999976e-05,0.19999999999999984,9.765624999999976e-05,"{""00000101110"": 1, ""00011011101"": 1, ""01000110000"": 1, ""01100110010"": 1, ""01111110110"": 1, ""10010101111"": 1, ""10101011000"": 1, ""11000101011"": 1, ""11100111001"": 1, ""11101110111"": 1}"
21,019e10f6-301b-75a0-b01e-39a6d6490cfb,1,21,IIIIIZXZIZX,XZIZXZIIIII,-0.00048828124999999913,10,0.9999999999999999,0.6,-0.3999999999999999,-0.0004882812499999991,-0.00029296874999999945,0.00019531249999999963,0.3999999999999999,0.00019531249999999963,"{""00000101111"": 1, ""00100110100"": 1, ""00110010011"": 1, ""00111011100"": 1, ""10011011000"": 1, ""10011101111"": 1, ""11000011111"": 1, ""11101000111"": 1, ""11101001011"": 1, ""11111011100"": 1}"
22,019e10f6-301b-75a0-b01e-39a6d6490cfb,1,22,IIIIIZXZZXZ,ZXZZXZIIIII,-0.00048828124999999913,10,0.9999999999999999,0.6,-0.3999999999999999,-0.0004882812499999991,-0.00029296874999999945,0.00019531249999999963,0.3999999999999999,0.00019531249999999963,"{""00000110110"": 1, ""00011000011"": 1, ""00110011000"": 1, ""01000000011"": 1, ""01010000011"": 1, ""01111011110"": 1, ""10011100000"": 1, ""10110010011"": 1, ""10111000110"": 1, ""11100000101"": 1}"
23,019e10f6-301b-75a0-b01e-39a6d6490cfb,1,23,IIIIIZXZZYY,YYZZXZIIIII,-0.00048828124999999913,10,0.9999999999999999,0.6,-0.3999999999999999,-0.0004882812499999991,-0.00029296874999999945,0.00019531249999999963,0.3999999999999999,0.00019531249999999963,"{""00000011001"": 1, ""00000011110"": 1, ""00010001000"": 1, ""00111011011"": 1, ""01011101000"": 1, ""01101000000"": 1, ""01101011101"": 1, ""10010101011"": 1, ""11101110110"": 1, ""11111110000"": 1}"
24,019e10f6-301b-75a0-b01e-39a6d6490cfb,1,24,IIIIIZYXXXY,YXXXYZIIIII,0.00048828124999999913,10,-0.9999999999999999,-0.6,0.3999999999999999,-0.0004882812499999991,-0.00029296874999999945,0.00019531249999999963,0.3999999999999999,0.00019531249999999963,"{""00011000101"": 1, ""01000010000"": 1, ""01100001101"": 1, ""01101011010"": 1, ""10000011111"": 1, ""10001001110"": 1, ""10100111000"": 1, ""10101001011"": 1, ""10110101011"": 1, ""11101111011"": 1}"
25,019e10f6-301b-75a0-b01e-39a6d6490cfb,1,25,IIIIIZYXXYZ,ZYXXYZIIIII,-0.00048828124999999913,10,0.9999999999999999,0.6,-0.3999999999999999,-0.0004882812499999991,-0.00029296874999999945,0.00019531249999999963,0.3999999999999999,0.00019531249999999963,"{""00001001000"": 1, ""00011101011"": 1, ""00101100010"": 1, ""00110001100"": 1, ""01011111010"": 1, ""01100111000"": 1, ""01100111111"": 1, ""01101001010"": 1, ""10011111111"": 1, ""11100100001"": 1}"
26,019e10f6-301b-75a0-b01e-39a6d6490cfb,1,26,IIIIIZYXYIX,XIYXYZIIIII,0.00048828124999999913,10,-0.9999999999999999,-1.0,-1.1102230246251565e-16,-0.0004882812499999991,-0.00048828124999999913,-5.421010862427522e-20,1.1102230246251565e-16,5.421010862427522e-20,"{""00010100111"": 1, ""00100100000"": 1, ""00101100111"": 1, ""01101011011"": 1, ""01110100000"": 1, ""01111011011"": 1, ""11010001000"": 1, ""11011110011"": 1, ""11110000100"": 1, ""11110101011"": 1}"
27,019e10f6-301b-75a0-b01e-39a6d6490cfb,1,27,IIIIIZYXYZI,IZYXYZIIIII,0.00048828124999999913,10,-0.9999999999999999,-1.0,-1.1102230246251565e-16,-0.0004882812499999991,-0.00048828124999999913,-5.421010862427522e-20,1.1102230246251565e-16,5.421010862427522e-20,"{""00001001001"": 1, ""00010110010"": 1, ""01100111110"": 1, ""01110000011"": 1, ""10000100110"": 1, ""10011000011"": 1, ""10110100111"": 1, ""11010101100"": 1, ""11101001000"": 1, ""11111010111"": 1}"
28,019e10f6-301b-75a0-b01e-39a6d6490cfb,1,28,IIIIIZYYIXZ,ZXIYYZIIIII,-0.00048828124999999913,10,0.9999999999999999,1.0,1.1102230246251565e-16,-0.0004882812499999991,-0.00048828124999999913,-5.421010862427522e-20,1.1102230246251565e-16,5.421010862427522e-20,"{""00100011000"": 1, ""00101011011"": 1, ""00110011000"": 1, ""00111111110"": 1, ""01110001110"": 1, ""01110100101"": 1, ""10011100110"": 1, ""11001011000"": 1, ""11001110000"": 1, ""11010111101"": 1}"
29,019e10f6-301b-75a0-b01e-39a6d6490cfb,1,29,IIIIIZYYIYY,YYIYYZIIIII,-0.00048828124999999913,10,0.9999999999999999,0.6,-0.3999999999999999,-0.0004882812499999991,-0.00029296874999999945,0.00019531249999999963,0.3999999999999999,0.00019531249999999963,"{""00000010110"": 1, ""00001110000"": 1, ""00011001101"": 1, ""00100011011"": 1, ""00110001011"": 1, ""01100010010"": 1, ""10010001000"": 1, ""10010100110"": 1, ""11110100110"": 1, ""11110111110"": 1}"
30,019e10f6-301b-75a0-b01e-39a6d6490cfb,1,30,IIIIIZYYZII,IIZYYZIIIII,-0.00048828124999999913,10,0.9999999999999999,0.8,-0.19999999999999984,-0.0004882812499999991,-0.0003906249999999993,9.765624999999976e-05,0.19999999999999984,9.765624999999976e-05,"{""00001101001"": 1, ""00011000001"": 1, ""00100001110"": 1, ""01000101010"": 1, ""01001111111"": 1, ""10000011000"": 1, ""10100011010"": 1, ""10100101100"": 1, ""10111010111"": 1, ""11101000001"": 1}"
31,019e10f6-301b-75a0-b01e-39a6d6490cfb,1,31,IIIIIZYYZZX,XZZYYZIIIII,-0.00048828124999999913,10,0.9999999999999999,0.6,-0.3999999999999999,-0.0004882812499999991,-0.00029296874999999945,0.00019531249999999963,0.3999999999999999,0.00019531249999999963,"{""00000001111"": 1, ""00000010011"": 1, ""00110100100"": 1, ""01001111111"": 1, ""01011100100"": 1, ""01101010111"": 1, ""10111000011"": 1, ""11100011011"": 1, ""11110000111"": 1, ""11111000011"": 1}"
32,019e10f6-301b-75a0-b01e-39a6d6490cfb,1,32,IIIIZXIXIXZ,ZXIXIXZIIII,-0.00048828124999999913,10,0.9999999999999999,0.8,-0.19999999999999984,-0.0004882812499999991,-0.0003906249999999993,9.765624999999976e-05,0.19999999999999984,9.765624999999976e-05,"{""00110110110"": 1, ""00111101110"": 1, ""01001100001"": 1, ""01100111000"": 1, ""01111010110"": 1, ""10001010101"": 1, ""10010000000"": 1, ""10100001110"": 1, ""11011010110"": 1, ""11101100011"": 1}"
33,019e10f6-301b-75a0-b01e-39a6d6490cfb,1,33,IIIIZXIXIYY,YYIXIXZIIII,-0.00048828124999999913,10,0.9999999999999999,0.8,-0.19999999999999984,-0.0004882812499999991,-0.0003906249999999993,9.765624999999976e-05,0.19999999999999984,9.765624999999976e-05,"{""00011011000"": 1, ""01101010110"": 1, ""10001010101"": 1, ""10111101110"": 1, ""11000110110"": 1, ""11010010110"": 1, ""11100000011"": 1, ""11100111011"": 1, ""11101101101"": 1, ""11110111011"": 1}"
34,019e10f6-301b-75a0-b01e-39a6d6490cfb,1,34,IIIIZXIXZII,IIZXIXZIIII,-0.00048828124999999913,10,0.9999999999999999,1.0,1.1102230246251565e-16,-0.0004882812499999991,-0.00048828124999999913,-5.421010862427522e-20,1.1102230246251565e-16,5.421010862427522e-20,"{""00100001100"": 1, ""00110111010"": 1, ""01000111001"": 1, ""01011100000"": 1, ""01100001111"": 1, ""10010000001"": 1, ""10010111011"": 1, ""10101101110"": 1, ""10111010111"": 1, ""11111101100"": 1}"
35,019e10f6-301b-75a0-b01e-39a6d6490cfb,1,35,IIIIZXIXZZX,XZZXIXZIIII,-0.00048828124999999913,10,0.9999999999999999,1.0,1.1102230246251565e-16,-0.0004882812499999991,-0.00048828124999999913,-5.421010862427522e-20,1.1102230246251565e-16,5.421010862427522e-20,"{""00001010111"": 1, ""00010000000"": 1, ""00011010100"": 1, ""00101011011"": 1, ""00101100011"": 1, ""01000111000"": 1, ""01001100011"": 1, ""01011101111"": 1, ""01100000000"": 1, ""11010001100"": 1}"
36,019e10f6-301b-75a0-b01e-39a6d6490cfb,1,36,IIIIZXIYXXY,YXXYIXZIIII,-0.00048828124999999913,10,0.9999999999999999,0.8,-0.19999999999999984,-0.0004882812499999991,-0.0003906249999999993,9.765624999999976e-05,0.19999999999999984,9.765624999999976e-05,"{""00001011110"": 1, ""00011011000"": 1, ""01000001111"": 1, ""01010001001"": 1, ""01010001010"": 1, ""01011010001"": 1, ""10100001010"": 1, ""10101011101"": 1, ""11100110010"": 1, ""11110011011"": 1}"
37,019e10f6-301b-75a0-b01e-39a6d6490cfb,1,37,IIIIZXIYXYZ,ZYXYIXZIIII,0.00048828124999999913,10,-0.9999999999999999,-1.0,-1.1102230246251565e-16,-0.0004882812499999991,-0.00048828124999999913,-5.421010862427522e-20,1.1102230246251565e-16,5.421010862427522e-20,"{""00000111001"": 1, ""00011010000"": 1, ""00100001101"": 1, ""01001100010"": 1, ""01010111001"": 1, ""01011100001"": 1, ""01100110000"": 1, ""10001010000"": 1, ""10001011111"": 1, ""11001011001"": 1}"
38,019e10f6-301b-75a0-b01e-39a6d6490cfb,1,38,IIIIZXIYYIX,XIYYIXZIIII,-0.00048828124999999913,10,0.9999999999999999,0.6,-0.3999999999999999,-0.0004882812499999991,-0.00029296874999999945,0.00019531249999999963,0.3999999999999999,0.00019531249999999963,"{""00010111111"": 1, ""00100101100"": 1, ""00100111001"": 1, ""00110110011"": 1, ""01001010011"": 1, ""01001100000"": 1, ""01111100111"": 1, ""11100001011"": 1, ""11101010011"": 1, ""11111010100"": 1}"
39,019e10f6-301b-75a0-b01e-39a6d6490cfb,1,39,IIIIZXIYYZI,IZYYIXZIIII,-0.00048828124999999913,10,0.9999999999999999,1.0,1.1102230246251565e-16,-0.0004882812499999991,-0.00048828124999999913,-5.421010862427522e-20,1.1102230246251565e-16,5.421010862427522e-20,"{""00011101100"": 1, ""01101010101"": 1, ""01110111000"": 1, ""01111010010"": 1, ""10001011110"": 1, ""10011100111"": 1, ""10100110101"": 1, ""10111100111"": 1, ""11100001011"": 1, ""11100110010"": 1}"
40,019e10f6-301b-75a0-b01e-39a6d6490cfb,1,40,IIIIZXZIIII,IIIIZXZIIII,-0.00048828124999999913,10,0.9999999999999999,1.0,1.1102230246251565e-16,-0.0004882812499999991,-0.00048828124999999913,-5.421010862427522e-20,1.1102230246251565e-16,5.421010862427522e-20,"{""00001100110"": 1, ""00010111110"": 1, ""00011010011"": 1, ""01011101011"": 1, ""01100000010"": 1, ""10010111010"": 1, ""10110001011"": 1, ""10111101010"": 1, ""11001011011"": 1, ""11011100111"": 1}"
41,019e10f6-301b-75a0-b01e-39a6d6490cfb,1,41,IIIIZXZIIZX,XZIIZXZIIII,-0.00048828124999999913,10,0.9999999999999999,0.8,-0.19999999999999984,-0.0004882812499999991,-0.0003906249999999993,9.765624999999976e-05,0.19999999999999984,9.765624999999976e-05,"{""00110001111"": 1, ""00110111011"": 2, ""01000111111"": 1, ""01100000100"": 1, ""01110000100"": 1, ""01111100101"": 1, ""10000111100"": 1, ""10110110111"": 1, ""10111011000"": 1}"
42,019e10f6-301b-75a0-b01e-39a6d6490cfb,1,42,IIIIZXZIZXZ,ZXZIZXZIIII,-0.00048828124999999913,10,0.9999999999999999,0.8,-0.19999999999999984,-0.0004882812499999991,-0.0003906249999999993,9.765624999999976e-05,0.19999999999999984,9.765624999999976e-05,"{""00000110110"": 1, ""00100001011"": 1, ""00100111000"": 1, ""00110110101"": 1, ""01000000011"": 1, ""10000000101"": 1, ""11010000110"": 1, ""11110000001"": 1, ""11110010010"": 1, ""11111010110"": 1}"
43,019e10f6-301b-75a0-b01e-39a6d6490cfb,1,43,IIIIZXZIZYY,YYZIZXZIIII,-0.00048828124999999913,10,0.9999999999999999,0.8,-0.19999999999999984,-0.0004882812499999991,-0.0003906249999999993,9.765624999999976e-05,0.19999999999999984,9.765624999999976e-05,"{""00001011000"": 1, ""00100000011"": 1, ""00100100110"": 1, ""01011010101"": 1, ""01011011000"": 1, ""01011100011"": 1, ""10011010110"": 1, ""10110000101"": 1, ""11101010000"": 1, ""11110110101"": 1}"
44,019e10f6-301b-75a0-b01e-39a6d6490cfb,1,44,IIIIZXZZXIX,XIXZZXZIIII,-0.00048828124999999913,10,0.9999999999999999,0.8,-0.19999999999999984,-0.0004882812499999991,-0.0003906249999999993,9.765624999999976e-05,0.19999999999999984,9.765624999999976e-05,"{""00000001100"": 1, ""00001010000"": 1, ""00010110111"": 1, ""00100000111"": 1, ""00110001100"": 1, ""00111011100"": 1, ""01010111100"": 1, ""01110000100"": 1, ""10011101011"": 1, ""11011011011"": 1}"
45,019e10f6-301b-75a0-b01e-39a6d6490cfb,1,45,IIIIZXZZXZI,IZXZZXZIIII,-0.00048828124999999913,10,0.9999999999999999,1.0,1.1102230246251565e-16,-0.0004882812499999991,-0.00048828124999999913,-5.421010862427522e-20,1.1102230246251565e-16,5.421010862427522e-20,"{""00000010101"": 1, ""00101100000"": 1, ""00110001010"": 1, ""01000110110"": 1, ""01100110000"": 1, ""10101011100"": 1, ""10111100110"": 1, ""11001100001"": 1, ""11011101101"": 1, ""11111100110"": 1}"
46,019e10f6-301b-75a0-b01e-39a6d6490cfb,1,46,IIIIZXZZYXY,YXYZZXZIIII,0.00048828124999999913,10,-0.9999999999999999,-0.8,0.19999999999999984,-0.0004882812499999991,-0.0003906249999999993,9.765624999999976e-05,0.19999999999999984,9.765624999999976e-05,"{""00011011101"": 1, ""00100111101"": 1, ""01001011110"": 1, ""01011100010"": 1, ""01111011011"": 1, ""10000000001"": 1, ""10000001101"": 1, ""11101101011"": 1, ""11111100001"": 1, ""11111100110"": 1}"
47,019e10f6-301b-75a0-b01e-39a6d6490cfb,1,47,IIIIZXZZYYZ,ZYYZZXZIIII,-0.00048828124999999913,10,0.9999999999999999,0.8,-0.19999999999999984,-0.0004882812499999991,-0.0003906249999999993,9.765624999999976e-05,0.19999999999999984,9.765624999999976e-05,"{""00011101100"": 1, ""00110110000"": 1, ""00110111111"": 1, ""01010111100"": 1, ""01100111001"": 1, ""10011111010"": 1, ""10111101111"": 1, ""11011010101"": 1, ""11101010000"": 2}"
48,019e10f6-301b-75a0-b01e-39a6d6490cfb,1,48,IIIIZYXXXXY,YXXXXYZIIII,-0.00048828124999999913,10,0.9999999999999999,0.8,-0.19999999999999984,-0.0004882812499999991,-0.0003906249999999993,9.765624999999976e-05,0.19999999999999984,9.765624999999976e-05,"{""00001001011"": 1, ""01111011010"": 1, ""10010111111"": 1, ""10011100001"": 1, ""10111111110"": 1, ""11000100010"": 1, ""11001000001"": 1, ""11010011110"": 1, ""11011100000"": 1, ""11111100101"": 1}"
49,019e10f6-301b-75a0-b01e-39a6d6490cfb,1,49,IIIIZYXXXYZ,ZYXXXYZIIII,0.00048828124999999913,10,-0.9999999999999999,-0.8,0.19999999999999984,-0.0004882812499999991,-0.0003906249999999993,9.765624999999976e-05,0.19999999999999984,9.765624999999976e-05,"{""00100100110"": 1, ""01000110010"": 1, ""01011011011"": 1, ""01011101101"": 1, ""01100011001"": 1, ""10000111010"": 1, ""10001000000"": 1, ""10011011101"": 1, ""10111111001"": 1, ""11111101101"": 1}"
50,019e10f6-301b-75a0-b01e-39a6d6490cfb,1,50,IIIIZYXXYIX,XIYXXYZIIII,-0.00048828124999999913,10,0.9999999999999999,0.0,-0.9999999999999999,-0.0004882812499999991,-0.0,0.0004882812499999991,0.9999999999999999,0.0004882812499999991,"{""01000000000"": 1, ""01001001000"": 1, ""01100110011"": 1, ""01101100011"": 1, ""01111110000"": 1, ""10011101100"": 1, ""11010000111"": 1, ""11011100011"": 1, ""11011100100"": 1, ""11011111111"": 1}"
51,019e10f6-301b-75a0-b01e-39a6d6490cfb,1,51,IIIIZYXXYZI,IZYXXYZIIII,-0.00048828124999999913,10,0.9999999999999999,0.8,-0.19999999999999984,-0.0004882812499999991,-0.0003906249999999993,9.765624999999976e-05,0.19999999999999984,9.765624999999976e-05,"{""00000111100"": 1, ""00011001000"": 1, ""00011110010"": 1, ""01011010110"": 1, ""10010101101"": 1, ""10011011101"": 1, ""10100001100"": 1, ""10100111100"": 1, ""11010010100"": 1, ""11011001110"": 1}"
52,019e10f6-301b-75a0-b01e-39a6d6490cfb,1,52,IIIIZYXYIXZ,ZXIYXYZIIII,0.00048828124999999913,10,-0.9999999999999999,-1.0,-1.1102230246251565e-16,-0.0004882812499999991,-0.00048828124999999913,-5.421010862427522e-20,1.1102230246251565e-16,5.421010862427522e-20,"{""00010010011"": 1, ""00101001110"": 1, ""00111111110"": 1, ""01010001011"": 1, ""01110101101"": 1, ""10000111011"": 1, ""10011110011"": 1, ""10101011000"": 1, ""10101100101"": 1, ""11100011110"": 1}"
